start_time	robot_id	from_position_id	to_position_id	measured_gps_x	measured_gps_y	real_gps_x	real_gps_y	measured_orientation	real_orientation	measured_lidar_distance	measured_radar_distance	real_distance	measured_temperature	real_temperature	decided_action	action_successful	holding_item_id	cardinality
4	9	432	433	15	12	14	12	Up	Up			0	64.08438	64.59143	StepForward	True		
4	17	158	159	5	8	5	8	Up	Up			0	18.556112	18.96481	StepForward	True		
4	14	194	194	6	14	6	14	Up	Up	1	1	0	99.19608	99.167404	GraspAnItem	True		
4	12	656	657	21	25	21	26	Up	Up	3	2	0	61.133278	61.672993	StepForward	True		
4	23	411	411	13	21	13	21	Left	Left	6	6	0	46.340904	46.399536	DoNothing	True		6
4	6	268	268	7	27	8	28	Left	Left	6	8	0	58.099304	57.963608	DoNothing	True		7
4	4	306	307	10	6	10	6	Up	Up	2	2	0	48.582947	48.814117	StepForward	True		
4	11	406	406	13	16	13	16	Up	Up	3	3	0	85.24889	85.100555	DoNothing	True		5
4	16	746	746	24	25	24	26	Up	Up	3	3	0	38.95797	38.554977	DoNothing	True		8
4	20	128	129	4	9	4	8	Up	Up	10	10	0	77.31958	77.34813	StepForward	True		
4	15	859	859	29	19	28	19	Right	Right	1	1	0	56.30639	56.176067	DoNothing	True		9
4	0	844	843	29	4	28	4	Down	Down	4	4	0	102.95446	105.28974	StepForward	True		
4	27	36	36	1	6	1	6	Up	Up	4	4	0	94.77196	94.903114	DoNothing	True		1
4	21	304	304	10	4	10	4	Left	Up	3	3	0	109.4749	110.352036	DoNothing	True		3
4	1	868	868	28	28	28	28	Right	Right	1	1	0	61.8801	62.05994	TurnRight	True		
4	24	171	141	5	21	5	21	Left	Left	2	2	0	53.226727	53.23755	StepForward	True		
4	22	428	428	14	8	14	8	Up	Up	5	5	0	107.4968	105.2553	DoNothing	True		4
4	26	227	228	7	17	7	17	Up	Up	4	4	0	25.267408	25.14307	StepForward	True		
4	10	628	628	20	28	20	28	Left	Left	5	5	0	81.4717	81.80008	DoNothing	True		7
4	28	153	183	5	4	5	3	Right	Right	2	2	0	36.54935	36.608643	StepForward	True		
4	25	548	549	18	8	18	8	Up	Up	9	9	0	37.278374	37.490185	StepForward	True		
4	19	87	87	3	27	2	27	Left	Left	3	2	0	75.75294	75.87479	DoNothing	True		8
4	13	410	380	13	20	13	20	Left	Left	10	11	0	73.77679	73.94283	StepForward	True		
4	3	852	852	28	12	28	12	Right	Right	1	1	0	90.95633	91.75419	DoNothing	True		10
4	29	530	530	17	20	17	20	Up	Up	5	5	0	21.416185	20.857647	StepForward	False		
4	5	767	768	25	17	25	17	Up	Up	2	2	0	35.323887	35.0512	StepForward	True		
5	5	768	768	25	18	25	18	Up	Up	1	1	0	105.36346	105.30181	GraspAnItem	True		
5	10	628	628	20	28	20	28	Left	Left	5	5	0	81.97078	81.80008	DoNothing	True		7
5	6	268	268	8	28	8	28	Left	Left	7	7	0	58.560436	57.963608	DoNothing	True		7
5	0	843	842	28	2	28	3	Down	Down	3	4	0	103.17368	103.18173	StepForward	True		
5	27	36	36	1	5	1	6	Up	Up	4	4	0	95.12123	94.903114	DoNothing	True		1
5	22	428	428	15	9	14	8	Up	Up	5	4	0	106.512985	105.2553	DoNothing	True		4
5	18	696	696	22	6	23	6	Left	Left			0	101.2814	103.85115	DoNothing	True		11
5	13	380	380	12	19	12	20	Left	Left	9	9	0	30.754168	30.482944	StepForward	False		
5	16	746	746	24	27	24	26	Up	Up	3	3	0	38.737434	38.554977	DoNothing	True		8
5	7	337	338	11	6	11	7	Up	Up	8	8	0	53.703064	53.971367	StepForward	True		
5	21	304	304	10	4	10	4	Up	Up	3	3	0	112.100586	110.352036	DoNothing	True		3
